metin,etiket
"Raporlama Ayşe K. tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"Ekip Lideri, 3 gündür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
"Raporlama Ahmet Y. tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
"Raporlama Ayşe K. tarafından 3 gündür tamamlanmadı, proje gecikiyor.",1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Yönetici, 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Ahmet Y. 5 iş günüdür bütçe onayını bekletiyor.,1
"Operasyon ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
"Raporlama Yönetici tarafından hala tamamlanmadı, proje gecikiyor.",1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Ekip Lideri 5 iş günüdür proje planı onayını bekletiyor.,1
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Departman Müdürü tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
Ahmet Y. hala fatura onayını bekletiyor.,1
Müşteri verisi Yönetici tarafından 3 gündür manuel olarak girilmedi.,1
"Destek bileti #4519, Ahmet Y. tarafından 48 saattir incelenmedi.",1
İK ekibi zamanında içinde geri dönüş sağladı.,0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Departman Müdürü, hala yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Müşteri verisi Yönetici tarafından 3 gündür manuel olarak girilmedi.,1
"Destek bileti #7113, Ekip Lideri tarafından hala incelenmedi.",1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Destek bileti #8317 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
bütçe Departman Müdürü tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Ekip Lideri, 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Satış planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
bütçe Ekip Lideri tarafından zamanında onaylandı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Ekip Lideri 3 gündür fatura onayını bekletiyor.,1
proje planı Departman Müdürü tarafından zamanında onaylandı.,0
Finans ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
izin talebi Departman Müdürü tarafından zamanında onaylandı.,0
Satış ekibi bugün içinde geri dönüş sağladı.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
Destek bileti #2144 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
fatura Ayşe K. tarafından zamanında onaylandı.,0
"Raporlama Departman Müdürü tarafından 48 saattir tamamlanmadı, işlem bekliyor.",1
Finans ekibi zamanında içinde geri dönüş sağladı.,0
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Müşteri verisi Ahmet Y. tarafından 1 haftadır manuel olarak girilmedi.,1
bütçe Ayşe K. tarafından zamanında onaylandı.,0
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
İK ekibi zamanında içinde geri dönüş sağladı.,0
"Raporlama Ahmet Y. tarafından 5 iş günüdür tamamlanmadı, müşteri bekliyor.",1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
"Finans ekibinden hala geri dönüş alınamadı, süreç durdu.",1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi Ahmet Y. tarafından hala manuel olarak girilmedi.,1
"IT Destek planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
"Raporlama Ahmet Y. tarafından 48 saattir tamamlanmadı, müşteri bekliyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Destek bileti #7219, Ekip Lideri tarafından 5 iş günüdür incelenmedi.",1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"Ayşe K., 48 saattir yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
IT Destek ekibi bugün içinde geri dönüş sağladı.,0
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Departman Müdürü, 5 iş günüdür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Müşteri verisi Yönetici tarafından 48 saattir manuel olarak girilmedi.,1
Müşteri verisi Ahmet Y. tarafından 3 gündür manuel olarak girilmedi.,1
Destek bileti #6475 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
"Finans planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
Operasyon ekibi bugün içinde geri dönüş sağladı.,0
"Satış planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
Ekip Lideri 1 haftadır proje planı onayını bekletiyor.,1
İK ekibi zamanında içinde geri dönüş sağladı.,0
Raporlama Yönetici tarafından yönetime sunuldu.,0
Ayşe K. 48 saattir bütçe onayını bekletiyor.,1
Müşteri verisi Departman Müdürü tarafından 1 haftadır manuel olarak girilmedi.,1
Raporlama Yönetici tarafından yönetime sunuldu.,0
Müşteri verisi Departman Müdürü tarafından 3 gündür manuel olarak girilmedi.,1
Raporlama Yönetici tarafından yönetime sunuldu.,0
"Ahmet Y., 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Satış ekibi zamanında içinde geri dönüş sağladı.,0
Müşteri verisi Ahmet Y. tarafından 48 saattir manuel olarak girilmedi.,1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Finans ekibi bugün içinde geri dönüş sağladı.,0
"Raporlama Departman Müdürü tarafından 5 iş günüdür tamamlanmadı, müşteri bekliyor.",1
fatura Ahmet Y. tarafından zamanında onaylandı.,0
fatura Ahmet Y. tarafından zamanında onaylandı.,0
"Destek bileti #7108, Ayşe K. tarafından 5 iş günüdür incelenmedi.",1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"Destek bileti #1801, Ayşe K. tarafından 5 iş günüdür incelenmedi.",1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
"Destek bileti #8598, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Raporlama Ahmet Y. tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Destek bileti #2520 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
"Destek bileti #9801, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"İK planlaması tamamlandı, kaynaklar atandı.",0
"Satış ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Ahmet Y. hala proje planı onayını bekletiyor.,1
Destek bileti #9770 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Finans ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
"IT Destek planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi Ayşe K. tarafından 1 haftadır manuel olarak girilmedi.,1
Müşteri verisi Yönetici tarafından 3 gündür manuel olarak girilmedi.,1
fatura Ahmet Y. tarafından zamanında onaylandı.,0
Ayşe K. 1 haftadır bütçe onayını bekletiyor.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Destek bileti #7814 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"Yönetici, 48 saattir yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
"Raporlama Ahmet Y. tarafından hala tamamlanmadı, proje gecikiyor.",1
Departman Müdürü 5 iş günüdür proje planı onayını bekletiyor.,1
"İK planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
İK ekibi bugün içinde geri dönüş sağladı.,0
"IT Destek planlaması hala yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Yönetici hala fatura onayını bekletiyor.,1
"Raporlama Departman Müdürü tarafından 48 saattir tamamlanmadı, işlem bekliyor.",1
Ekip Lideri 3 gündür izin talebi onayını bekletiyor.,1
Ahmet Y. hala izin talebi onayını bekletiyor.,1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Destek bileti #6617, Ekip Lideri tarafından 48 saattir incelenmedi.",1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
Destek bileti #1541 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Finans ekibi zamanında içinde geri dönüş sağladı.,0
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"İK ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi Ekip Lideri tarafından 3 gündür manuel olarak girilmedi.,1
"İK planlaması tamamlandı, kaynaklar atandı.",0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"Raporlama Ahmet Y. tarafından 3 gündür tamamlanmadı, proje gecikiyor.",1
"Raporlama Ekip Lideri tarafından hala tamamlanmadı, müşteri bekliyor.",1
"Destek bileti #3935, Ayşe K. tarafından 3 gündür incelenmedi.",1
Destek bileti #7245 Yönetici tarafından çözüldü ve kapatıldı.,0
"Destek bileti #2251, Ahmet Y. tarafından 1 haftadır incelenmedi.",1
"Ahmet Y., 5 iş günüdür yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
İK ekibi zamanında içinde geri dönüş sağladı.,0
"Destek bileti #6868, Yönetici tarafından 1 haftadır incelenmedi.",1
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Müşteri verisi Yönetici tarafından 48 saattir manuel olarak girilmedi.,1
"IT Destek ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
"Ekip Lideri, 5 iş günüdür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"İK planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Finans ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Destek bileti #4105 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Müşteri verisi Departman Müdürü tarafından 5 iş günüdür manuel olarak girilmedi.,1
Yönetici 1 haftadır bütçe onayını bekletiyor.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
fatura Ahmet Y. tarafından zamanında onaylandı.,0
Destek bileti #8489 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
bütçe Ahmet Y. tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
"Raporlama Ahmet Y. tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"Ekip Lideri, 5 iş günüdür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Raporlama Ayşe K. tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
Ayşe K. hala bütçe onayını bekletiyor.,1
"İK planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi Ekip Lideri tarafından 5 iş günüdür manuel olarak girilmedi.,1
fatura Yönetici tarafından zamanında onaylandı.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"Satış ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
Departman Müdürü hala fatura onayını bekletiyor.,1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Ahmet Y., hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Destek bileti #5637 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"Raporlama Ayşe K. tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
Müşteri verisi Ayşe K. tarafından 48 saattir manuel olarak girilmedi.,1
"Destek bileti #1655, Ayşe K. tarafından 5 iş günüdür incelenmedi.",1
Müşteri verisi Ahmet Y. tarafından 48 saattir manuel olarak girilmedi.,1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Yönetici, 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Ahmet Y. tarafından 48 saattir tamamlanmadı, müşteri bekliyor.",1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"IT Destek ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Raporlama Yönetici tarafından yönetime sunuldu.,0
Operasyon ekibi bugün içinde geri dönüş sağladı.,0
Müşteri verisi Yönetici tarafından 5 iş günüdür manuel olarak girilmedi.,1
"Ekip Lideri, 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Finans ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
"Destek bileti #7782, Yönetici tarafından 3 gündür incelenmedi.",1
Ahmet Y. 48 saattir bütçe onayını bekletiyor.,1
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Destek bileti #1154, Ayşe K. tarafından 5 iş günüdür incelenmedi.",1
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
"İK ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Yönetici, 1 haftadır yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Departman Müdürü 5 iş günüdür fatura onayını bekletiyor.,1
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Destek bileti #7317, Ayşe K. tarafından 3 gündür incelenmedi.",1
izin talebi Ahmet Y. tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
"Raporlama Ekip Lideri tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Operasyon planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Ayşe K., hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Destek bileti #9567 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"Destek bileti #9698, Ayşe K. tarafından 5 iş günüdür incelenmedi.",1
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
"Destek bileti #1236, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
Yönetici 3 gündür bütçe onayını bekletiyor.,1
Destek bileti #4172 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Raporlama Departman Müdürü tarafından 3 gündür tamamlanmadı, müşteri bekliyor.",1
"Destek bileti #3398, Ayşe K. tarafından 5 iş günüdür incelenmedi.",1
Ayşe K. 1 haftadır izin talebi onayını bekletiyor.,1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Destek bileti #5041, Ahmet Y. tarafından hala incelenmedi.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
fatura Departman Müdürü tarafından zamanında onaylandı.,0
Destek bileti #4259 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Destek bileti #8043 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
"Raporlama Ayşe K. tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
fatura Yönetici tarafından zamanında onaylandı.,0
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Destek bileti #6671 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Satış ekibi zamanında içinde geri dönüş sağladı.,0
"Finans planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Destek bileti #9584 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Ayşe K. 48 saattir fatura onayını bekletiyor.,1
IT Destek ekibi bugün içinde geri dönüş sağladı.,0
Ayşe K. 5 iş günüdür fatura onayını bekletiyor.,1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
Müşteri verisi Ayşe K. tarafından 1 haftadır manuel olarak girilmedi.,1
"Destek bileti #6454, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"IT Destek planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Ayşe K., 1 haftadır yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
"Satış ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"Raporlama Yönetici tarafından hala tamamlanmadı, müşteri bekliyor.",1
"Raporlama Ahmet Y. tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Destek bileti #4536, Ayşe K. tarafından 1 haftadır incelenmedi.",1
Destek bileti #3119 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
"Operasyon planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Yönetici 5 iş günüdür proje planı onayını bekletiyor.,1
"Raporlama Ayşe K. tarafından 3 gündür tamamlanmadı, proje gecikiyor.",1
"Satış planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Raporlama Ahmet Y. tarafından hala tamamlanmadı, işlem bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
"İK planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"IT Destek ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
"IT Destek ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
proje planı Ekip Lideri tarafından zamanında onaylandı.,0
"IT Destek ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Destek bileti #1188 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Destek bileti #6684 Yönetici tarafından çözüldü ve kapatıldı.,0
"Raporlama Ekip Lideri tarafından 48 saattir tamamlanmadı, müşteri bekliyor.",1
Müşteri verisi Ekip Lideri tarafından 5 iş günüdür manuel olarak girilmedi.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
"İK planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Raporlama Yönetici tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
Destek bileti #1800 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"Raporlama Ahmet Y. tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
"Departman Müdürü, 5 iş günüdür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
"Ekip Lideri, 5 iş günüdür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"IT Destek planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
"Ahmet Y., hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Finans ekibi bugün içinde geri dönüş sağladı.,0
Destek bileti #1873 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Müşteri verisi Ahmet Y. tarafından hala manuel olarak girilmedi.,1
Satış ekibi bugün içinde geri dönüş sağladı.,0
Ahmet Y. 48 saattir proje planı onayını bekletiyor.,1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
"Raporlama Departman Müdürü tarafından hala tamamlanmadı, proje gecikiyor.",1
İK ekibi zamanında içinde geri dönüş sağladı.,0
"Yönetici, 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Destek bileti #8678 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
"Raporlama Yönetici tarafından 3 gündür tamamlanmadı, işlem bekliyor.",1
"Yönetici, 5 iş günüdür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Müşteri verisi Ayşe K. tarafından 3 gündür manuel olarak girilmedi.,1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Yönetici, 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"İK ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
"Destek bileti #5630, Ayşe K. tarafından hala incelenmedi.",1
Destek bileti #1477 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"İK planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"Finans ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Destek bileti #6131, Departman Müdürü tarafından 3 gündür incelenmedi.",1
"Operasyon ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
fatura Ayşe K. tarafından zamanında onaylandı.,0
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Ahmet Y. 48 saattir fatura onayını bekletiyor.,1
"Destek bileti #7268, Departman Müdürü tarafından 5 iş günüdür incelenmedi.",1
"Operasyon planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"İK planlaması tamamlandı, kaynaklar atandı.",0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
izin talebi Yönetici tarafından zamanında onaylandı.,0
"Operasyon planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
izin talebi Departman Müdürü tarafından zamanında onaylandı.,0
"IT Destek planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
"İK planlaması tamamlandı, kaynaklar atandı.",0
"Departman Müdürü, 1 haftadır yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Ekip Lideri 5 iş günüdür proje planı onayını bekletiyor.,1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Destek bileti #3203, Ayşe K. tarafından 5 iş günüdür incelenmedi.",1
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"İK planlaması hala yapılmadı, kaynak ataması bekliyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"İK ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
"Raporlama Ahmet Y. tarafından 48 saattir tamamlanmadı, işlem bekliyor.",1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Yönetici 3 gündür bütçe onayını bekletiyor.,1
"Destek bileti #5071, Ekip Lideri tarafından 5 iş günüdür incelenmedi.",1
"Raporlama Ahmet Y. tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
Destek bileti #5963 Yönetici tarafından çözüldü ve kapatıldı.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Raporlama Departman Müdürü tarafından hala tamamlanmadı, proje gecikiyor.",1
"Raporlama Ahmet Y. tarafından hala tamamlanmadı, proje gecikiyor.",1
"Raporlama Ayşe K. tarafından 3 gündür tamamlanmadı, müşteri bekliyor.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Ayşe K., 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Yönetici, 1 haftadır yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"IT Destek ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
"İK ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
Destek bileti #6496 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Departman Müdürü 1 haftadır izin talebi onayını bekletiyor.,1
Satış ekibi bugün içinde geri dönüş sağladı.,0
"Destek bileti #8946, Ekip Lideri tarafından 3 gündür incelenmedi.",1
"Destek bileti #5121, Ayşe K. tarafından 3 gündür incelenmedi.",1
"Ekip Lideri, 1 haftadır yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
